code,name,medianIncome,youthUnemployment2010,youthUnemployment2013,unemployment2010,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,satisfactionInfluence,satisfactionGeneral,satisfactionElderlyCare,foreignBorn,reportedCrimeVandalism,youngUnskilled,latitude,longitude,population,populationShare65plus,municipalityType,municipalityTypeBroad,refugees,rentalApartments,governing,fokusRanking,foretagsklimatRanking,cars,motorcycles,tractors,snowmobiles
2361,Härjedalen,187237,10.6,12,7.2,8,0.8,1232,-0.8,38.2,1425,78.4,42,54,43,12.1,10.3,8.2,62.369341,13.407971,24509,24.9,Tourism municipalities,Rural,22.9,161.7,Mixed,229,271,263.984658696805,15.4229058713126,31.3762291403158,121.465584071158
0305,Håbo,170664,2.9,4.1,4,4,0,974,-5.1,22.2,1711,75.1,NA,NA,NA,16.7,8.7,13.5,59.627071,17.452298,6982,28.6,Suburbs to cities,City,5.4,77.8,Mixed,72,71,1418.93440274993,111.286164422801,31.223145230593,23.3457462045259
0330,Knivsta,250830,3.3,4.9,3.5,3.5,0,379,9.3,48.3,597,66.3,47,56,59,12.8,7,8.2,59.72612,17.792036,15580,13.2,Suburbs to larger towns,City,7.7,50.7,Conservative,77,15,478.048780487805,33.5044929396662,30.9370988446727,8.2798459563543
1287,Trelleborg,197888,11,13.2,8.3,8.4,0.0999999999999996,857,3.1,29.7,591,81.6,NA,NA,NA,18.8,10.5,11.5,55.376243,13.157423,42837,21,Commuter municipalities,Rural,4.4,125.5,Conservative,75,253,507.435161192427,37.6076756075355,30.5110068398814,0.163410136097299
2560,Älvsbyn,190103,13.6,10.6,10.9,8.8,-2.1,1159,2.7,22.3,453,91.9,NA,NA,NA,26.7,18.2,11.5,65.677136,20.992866,14927,17.8,Municipalities in sparsely populated regions,Rural,26.7,158.4,Left-wing,243,101,321.162993233738,17.887050311516,30.1467140081731,103.838681583707
0880,Kalmar,197474,7.6,8.9,7,7.3,0.3,917,3.6,43.5,917,87.9,45,62,49,13.3,10.9,6.7,56.663445,16.356779,63887,19.3,Larger towns,Town,18.1,207.6,Mixed,32,149,488.362264623476,27.9086512122967,29.9434939815612,0.516537010659446
2085,Ludvika,192968,8.4,9.3,7,7.2,0.2,1042,0.7,30.2,1142,88.1,NA,NA,NA,13.9,9.1,9.9,60.152358,15.191639,25712,24.7,Manufacturing municipalities,Rural,37.6,186.6,Left-wing,132,230,535.119788425638,39.3590541381456,29.8304293714997,30.997199751089
1440,Ale,218334,8.5,7.3,6.8,5.5,-1.3,691,2.7,31.5,486,79.5,NA,NA,NA,17.3,11.4,11.8,57.841175,12.029249,28074,17.9,Suburbs to cities,City,7,107.9,Mixed,61,61,482.296787062763,38.43413834865,29.7784426871839,1.78100733775023
0486,Strängnäs,219111,7.8,8.9,7,6.7,-0.3,976,5.3,36.1,554,76.2,32,46,45,14.9,17.7,12.7,59.377452,17.032119,33389,21.3,Commuter municipalities,Rural,10.1,163.7,Mixed,84,203,508.760370181796,37.1080295905837,29.0514840216838,4.79199736440145
1260,Bjuv,190597,9.5,9.3,9.3,9.1,-0.200000000000001,986,1.3,19.7,35,91.8,NA,NA,NA,24,14.7,15.6,56.087102,12.912505,14801,18.6,Suburbs to larger towns,City,13.5,97.1,Left-wing,180,188,527.396797513681,42.7673805823931,27.7683940274306,0.270252009999324
1284,Höganäs,215121,7.9,6.4,6.5,5.5,-1,482,3.4,43.3,254,89.2,NA,NA,NA,13.6,8.6,6.2,56.200639,12.555329,25084,24.8,Commuter municipalities,Rural,6,106.6,Conservative,82,14,516.305214479349,36.9558284165205,27.7467708499442,0.757454951363419
2280,Härnösand,242647,11.5,11,9.7,8.9,-0.799999999999999,602,6.4,47.2,353,86.3,NA,NA,NA,12.4,14.2,9.3,62.63227,17.940871,35732,15.5,Municipalities in sparsely populated regions,Rural,31.6,162,Mixed,163,223,335.945371095936,22.892645247957,27.5663271017575,30.7567446546513
1263,Svedala,228107,7.2,8.3,5.4,5.3,-0.100000000000001,404,3.5,36,651,84,47,61,63,11.2,8.8,9.2,55.508908,13.23711,20067,17,Suburbs to cities,City,4.8,74.1,Mixed,90,140,524.891613096128,44.6504210893507,26.5610205810535,0.39866447401206
0680,Jönköping,207039,6.9,7.5,6,6,0,800,4.5,42.3,334,89.8,45,59,54,19,12.5,6,57.782614,14.161788,130798,18.8,Larger towns,Town,15.9,194.3,Conservative,22,50,470.519426902552,28.0508876282512,26.1166072875732,0.993898989281182
1961,Hallstahammar,191987,14.5,13,10.2,9.7,-0.5,921,3.4,26,1415,88.1,43,57,52,18.8,17.1,13.4,59.613204,16.229476,15524,23.5,Commuter municipalities,Rural,40,187,Left-wing,155,81,515.26668384437,37.4259211543417,25.8953877866529,6.31280597784076
0488,Trosa,233264,6.7,6.4,5.1,5.2,0.100000000000001,668,2.8,33,365,82.2,56,63,66,14,12.5,14.1,58.898514,17.551353,11680,21.9,Suburbs to larger towns,City,9.5,119.3,Conservative,119,4,515.325342465753,33.6472602739726,25.5993150684931,6.84931506849315
